^yb1 ䷀乾:	Qian:
「亨」者，嘉之會也；	what is called 'the penetrating' is the assemblage of excellences; 
「利」者，義之和也；	what is called 'the advantageous' is the harmony of all that is right; 
「貞」者，事之幹也。	and what is called 'the correct and firm' is the faculty of action. 
君子體仁足以長人，嘉會足以合禮，	The superior man, embodying benevolence, is fit to preside over men; presenting the assemblage of excellences, he is fit to show in himself the union of all propriety; 
利物足以和義，貞固足以幹事。	benefiting (all) creatures, he is fit to exhibit the harmony of all that is right; correct and firm, he is fit to manage (all) affairs. 
君子行此四德者，故曰「乾、元、亨、利、貞」。	The fact that the superior man practises these four virtues justifies the application to him of the words - 'Qian represents what is great and originating, penetrating, advantageous, correct and firm.'
10 文言:	Qian:
初九曰、「潛龍勿用」，何謂也？	What is the meaning of the words under the first NINE, (undivided), 'The dragon lies hid (in the deep) - it is not the time for active doing?' 
子曰：「龍、德而隱者也。	The Master said: There he is, with the powers of the dragon, and yet lying hid. 
不易乎世，不成乎名，	The influence of the world would make no change in him; he would do nothing (merely) to secure his fame. 
遯世无悶，不見是而无悶。	He can live, withdrawn from the world, without regret; he can experience disapproval without trouble of mind. 
樂則行之，憂則違之，	Rejoicing (in opportunity), he carries his principles into action; sorrowing (for want of opportunity), he keeps with them in retirement. 
確乎其不可拔，潛龍也。」	Yes, he is not to be torn from his root (in himself).' This is 'the dragon lying hid.'
11 文言:	Qian:
九二曰：「見龍在田，利見大人」，何謂也？	What is the meaning of the words under the second NINE, 'The dragon shows himself and is in the field - it will be advantageous to see the great man?' 
子曰：「龍德而正中者也。	The Master said: 'There he is, with the dragon's powers, and occupying exactly the central place. 
庸言之信，庸行之謹，	He is sincere (even) in his ordinary words, and earnest in his ordinary conduct. 
閑邪存其誠，	Guarding against depravity, he preserves his sincerity. 
善世而不伐，	His goodness is recognised in the world, but he does not boast of it. 
德博而化。	His virtue is extensively displayed, and transformation ensues. 
《易》曰：『見龍在田，利見大人』，君德也。」	The language of the Yi, "The dragon shows himself and is in the field - it will be advantageous to see the great man." refers to a ruler's virtue.'
12 文言:	Qian:
九三曰：「君子終日乾乾、夕惕若、厲、无咎」。何謂也？	What is the meaning of the words under the third NINE,' The superior man is active and vigilant all the day, and in the evening (still) careful and apprehensive - the position is dangerous, but there will be no mistake?' 
子曰：「君子進德脩業，	The Master said: 'The superior man advances in virtue, and cultivates all the sphere of his duty. 
忠信，所以進德也，	His leal-heartedness and good faith are the way by which he advances in virtue. 
脩辭立其誠，所以居業也。	His attention to his words and establishing his sincerity are the way by which he occupies in his sphere. 
知至至之，可與幾也，	He knows the utmost point to be reached, and reaches it, thus showing himself in accord with the first springs (of things); 
知終終之，可與存義也。	he knows the end to be rested in, and rests in it, thus preserving his righteousness in accordance with that end. 
是故居上位而不驕，在下位而不憂，	Therefore he occupies a high position without pride, and a low position without anxiety. 
故乾乾因其時而惕，雖危无咎矣。」	Thus it is that, being active and vigilant, and careful (also) and apprehensive as the time requires, though his position be perilous, he will make no mistake.'
13 文言:	Qian:
九四曰：「或躍在淵，无咎。」何謂也？	What is the meaning of the words under the fourth NINE, 'He is as if he were leaping up, (but still) is in the deep - there will be no mistake?' 
子曰：「上下无常，非為邪也。	The Master said: 'He finds no permanent place either above or below, but he does not commit the error (of advancing). 
進退无恆，非離群也。	He may advance or recede - there is no permanent place for him: but he does not leave his fellows. 
君子進德脩業，欲及時也，故无咎。」	The superior man, advancing in virtue and cultivating the sphere of his duty, yet wishes (to advance only) at the (proper) time, and therefore there is no mistake.'
14 文言:	Qian:
九五曰：「飛龍在天，利見大人」。何謂也？	What is the meaning of the words under the fifth NINE, 'The dragon is on the wing in the sky - it will be advantageous to see the great man?' 
子曰：「同聲相應，同氣相求。	The Master said: 'Notes of the same key respond to one another; creatures of the same nature seek one another; 
水流濕，火就燥，	water flows towards the place that is (low and) damp; fire rises up towards what is dry; 
雲從龍，風從虎，聖人作而萬物覩。	clouds follow the dragon, and winds follow the tiger:(so) the sage makes his appearance, and all men look to him. 
本乎天者親上，本乎地者親下，則各從其類也。」	Things that draw their origin from heaven move towards what is above; things that draw their origin from the earth cleave to what is below:--so does everything follow its kind.'
15 文言:	Qian:
上九曰：「亢龍有悔」，何謂也？	What is the meaning of the words under the topmost NINE, 'The dragon exceeds the proper limits - there will be occasion for repentance?' 
子曰：「貴而无位，高而无民，	The Master said: 'The position is noble, but it is not that of office; (its occupant) dwells on high, but he has no people (to rule); 
賢人在下位而无輔，是以動而有悔也。」	and the men of talent and virtue in the positions below will give him no aid - should he move in such a case, there will be occasion for repentance.'
16 文言:	Qian:
「潛龍勿用」，下也；	'The dragon lies hid - it is not the time for active doing:'--the position is (too) low.
「見龍在田」，時舍也；	'The dragon shows himself and is in the field:'--the time (requires him still) to be unemployed.
「終日乾乾」，行事也；	'All the day active and vigilant:'--(he now) does his (proper) business.
「或躍在淵」，自試也；	'He is as if he were leaping up, (but still) is in the deep:'--he is making trial of himself.
「飛龍在天」，上治也；	'The dragon is on the wing in the sky:'--(the subject of the line) is on high and ruling.
「亢龍有悔」、窮之災也。	'The dragon exceeds the proper limit, and there will be occasion for repentance:'--when things have been carried to extremity, calamity ensues.
乾元「用九」，天下治也。	Undivided lines appear in all these representations of the great and originating power denoted by Qian:--(what follows in the Yao tells us how) all under the sky there will be good order.
17 文言:	Qian:
「潛龍勿用」，陽氣潛藏。	'The dragon lies hid in the deep - it is not the time for active doing:'--the energy denoted by the undivided line is laid up and hid away as in the deep.
「見龍在田」，天下文明。	'The dragon appears in the field:'--all under heaven (begins to be) adorned and brightened.
「終日乾乾」，與時偕行。	'All the day active and vigilant:'--continually, as the time passes and requires, does he act.
「或躍在淵」，乾道乃革。	'He is as if he were leaping up, (but still) is in the deep:'--a change is taking place in the method indicated by (this) Qian diagram.
「飛龍在天」，乃位乎天德。	'The dragon is on the wing in the sky this shows that his place is based on his heavenly virtue.
「亢龍有悔」，與時偕極。	'The dragon exceeds the (proper) limit - there will be occasion for repentance:'--the time is come to an end, and so also is his opportunity.
乾元「用九」，乃見天則。	Undivided NINES appear in all these representations of the great and originating power denoted by Qian:--and (from what follows in the Yao) we see the model (of action) afforded by heaven.
18 文言:	Qian:
《乾》「元」者，始而亨者也。	The 'greatness' and 'originating' represented by Qian refer to it as (the symbol of) what gives their beginning (to all things), and (also) secures their growth and development.
「利貞」者，性情也。	'The advantageousness and the correctness and firmness' refer to its nature and feelings (as seen in all the resulting things).
乾始能以美利利天下，	Qian, (thus) originating, is able with its admirable benefits to benefit all under the sky. 
不言所利，大矣哉！	We are not told how its benefits are conferred; but how great is (its operation)! 
19 文言:	Qian:
大哉乾乎！剛健中正，純粹精也。	How great is (what is emblemed by) Qian!--strong, vigorous, undeflected, correct, and (in all these qualities) pure, unmixed, exquisite! 
六爻發揮，旁通情也。	The six lines, as explained (by the duke of Zhou), bring forth and display (its meaning), and everything about it is (thus) indirectly exhibited. 
「時乘六龍」、以「御天」也，	(The great man) at the proper time drives with these six dragons through the sky.
「雲行雨施」、天下平也。	 The clouds move, and the rain is distributed; all under heaven enjoys repose. 
君子以成德為行，日可見之行也。	In the superior man his conduct is (the fruit of) his perfected virtue, which might be seen therefore in his daily course; 
「潛」之為言也，隱而未見，行而未成，	but the force of that phrase, 'lying hid,' requires him to keep retired, and not yet show himself, nor proceed to the full development of his course. 
是以君子「弗用」也。	While this is the case, the superior man (knows that) it is not the time for active doing.
20 文言:	Qian:
君子學以聚之，問以辯之，	The superior man learns and accumulates the results of his learning; puts questions, and discriminates among those results; 
寬以居之，仁以行之。	dwells magnanimously and unambitiously in what he has attained to; and carries it into practice with benevolence. 
《易》曰「見龍在田、利見大人」，君德也。	What the Yi says, 'The dragon appears in the field:--it will be advantageous to meet with the great man,' has reference to the virtuous qualities of a ruler (as thus described).
21 文言:	Qian:
九三重剛而不中，上不在天，下不在田，	In the third NINE, there is a twofold symbol of) strength, but (the position) is not central. (Its occupant) is not in heaven above, nor is he in the field beneath. 
故「乾乾」因其時而「惕」，雖危「无咎」矣。	Therefore there must be active vigilance and cautious apprehension as the time requires; and. though (the position be) perilous, there will be no mistake.
22 文言:	Qian:
九四重剛而不中，上不在天，下不在田，中不在人，故「或」之。	In the fourth NINE, there is (the symbol of) strength, but (the position) is not central. (Its occupant) is not in heaven above, nor is he in the field beneath, nor is he in the place of man intermediate. 
「或」之者、疑之也，故「无咎」。	Hence he is in perplexity; and being so, he has doubts about what. should be his movements, and so will give no occasion for blame.
23 文言:	Qian:
夫「大人」者、與天地合其德，	The great man is he who is in harmony, in his attributes, with heaven and earth; 
與日月合其明，與四時合其序，	in his brightness, with the sun and moon; in his orderly procedure, with the four sea-sons; 
與鬼神合其吉凶，	and in his relation to what is fortunate and what is calamitous, in harmony with the spirit-like operations (of Providence). 
先天而天弗違，後天而奉天時。	He may precede Heaven, and Heaven will not act in opposition to him; he may follow Heaven, but will act (only) as Heaven at the time would do. 
天且弗違，而況於人乎？況於鬼神乎？	If Heaven will not act in opposition to him, how much less will men! how much less will the spirit-like operation (of Providence)!
24 文言:	Qian:
「亢」之為言也，知進而不知退，知存而不知亡，知得而不知喪。	The force of that phrase--'exceeding the proper limits'--indicates the knowing to advance but not to retire; to maintain but not to let perish to get but not to lose. 
其唯聖人乎！知進退存亡而不失其正者，其唯聖人乎！	He only is the sage who knows to advance and to retire, to maintain and to let perish; and that without ever acting incorrectly. Yes, he only is the sage!
^yb2 ䷁坤:	Kun:
坤：元亨，利牝馬之貞。	Kun (represents) what is great and originating, penetrating, advantageous, correct and having the firmness of a mare. 
君子有攸往，先迷後得主，	When the superior man (here intended) has to make any movement, if he take the initiative, he will go astray; if he follow, he will find his (proper) lord. 
利西南得朋，東北喪朋。	The advantageousness will be seen in his getting friends in the south-west, and losing friends in the north-east. 
安貞，吉。	If he rest in correctness and firmness, there will be good fortune.
彖傳:	Tuan Zhuan:
至哉坤元，萬物資生，乃順承天。	Complete is the 'great and originating (capacity)' indicated by Kun! All things owe to it their birth; - it receives obediently the influences of Heaven. 
坤厚載物，德合无疆。	Kun, in its largeness, supports and contains all things. Its excellent capacity matches the unlimited power (of Qian). 
含弘光大，品物咸亨。	Its comprehension is wide, and its brightness great. The various things obtain (by it) their full development. 
牝馬地類，行地无疆，柔順利貞。	The mare is a creature of earthly kind. Its (power of) moving on the earth is without limit; it is mild and docile, advantageous and firm: - 
君子攸行，先迷失道，後順得常。	such is the course of the superior man. 'If he take the initiative, he goes astray:' - he misses, that is, his proper course. 'If he follow,' he is docile, and gets into his regular (course). 
西南得朋，乃與類行；	'In the south-west he will get friends:' - he will be walking with those of his own class. 
東北喪朋，乃終有慶。	'In the north-east he will lose friends:' - but in the end there will be ground for congratulation. 
安貞之吉，應地无疆。	'The good fortune arising from resting in firmness' corresponds to the unlimited capacity of the earth.
象傳:	Xiang Zhuan:
地勢坤，君子以厚德載物。	The (capacity and sustaining) power of the earth is what is denoted by Kun. The superior man, in accordance with this, with his large virtue supports (men and) things.
2 ䷁坤:	Kun:
初六：履霜，堅冰至。	In the first SIX, divided, (we see its subject) treading on hoarfrost. The strong ice will come (by and by).
象傳:	Xiang Zhuan:
履霜堅冰，陰始凝也。	'He is treading on hoarfrost; - the strong ice will come (by and by):' - the cold (air) has begun to take form. 
馴致其道，至堅冰也。	Allow it to go on quietly according to its nature, and (the hoarfrost) will come to strong ice.
3 ䷁坤:	Kun:
六二：直，方，大，不習无不利。	The second SIX, divided, (shows the attribute of) being straight, square, and great. (Its operation), without repeated efforts, will be in every respect advantageous.
象傳:	Xiang Zhuan:
六二之動，直以方也。	The movement indicated by the second six, (divided),is 'from the straight (line) to the square.'
不習无不利，地道光也。	 '(Its operation), without repeated effort, in every way advantageous,' shows the brilliant result of the way of earth.
4 ䷁坤:	Kun:
六三：含章可貞。	The third SIX, divided, (shows its subject) keeping his excellence under restraint, but firmly maintaining it. 
或從王事，无成有終。	If he should have occasion to engage in the king's service, though he will not claim the success (for himself), he will bring affairs to a good issue.
象傳:	Xiang Zhuan:
含章可貞；以時發也。	'He keeps his excellence tinder restraint, but firmly maintains it:' - at the proper time he will manifest it. 
或從王事，知光大也。	'He may have occasion to engage in the king's service: - great is the glory of his wisdom.
5 ䷁坤:	Kun:
六四：括囊；无咎，无譽。	The fourth SIX, divided, (shows the symbol of) a sack tied up. There will be no ground for blame or for praise.
象傳:	Xiang Zhuan:
括囊无咎，慎不害也。	'A sack tied up; - there will be no error:' - this shows how, through carefulness, no injury will be received.
6 ䷁坤:	Kun:
六五：黃裳，元吉。	The fifth SIX, divided, (shows) the yellow lower garment. There will be great good fortune.
象傳:	Xiang Zhuan:
黃裳元吉，文在中也。	S. 'The Yellow lower-garment; - there will be great good fortune:' - this follows from that ornamental (colour's) being in the right and central place.
7 ䷁坤:	Kun:
上六：龍戰于野，其血玄黃。	The sixth SIX, divided (shows) dragons fighting in the wild. Their blood is purple and yellow.
象傳:	Xiang Zhuan:
戰龍於野，其道窮也。	'The dragons fight in the wild: - the (onward) course (indicated by Kun) is pursued to extremity.
8 ䷁坤:	Kun:
用六：利永貞。	(The lines of this hexagram are all weak and divided, as appears from) the use of the number six. If those (who are thus represented) be perpetually correct and firm, advantage will arise.
象傳:	Xiang Zhuan:
用六永貞，以大終也。	'(The lines are all weak and divided, as appears from) the use of the number SIX: - but (those who are thus represented) becoming perpetually correct and firm, there will thereby be a great consummation.
9 文言:	Kun:
《文言》曰：《坤》至柔而動也剛，至靜而德方，	(What is indicated by) Kun is most gentle and weak, but, when put in motion, is hard and strong; it is most still, but is able to give every definite form. 
後得主而有常，含萬物而化光。	'By following, it obtains its (proper) lord,' and pursues its regular (course). It contains all things in itself, and its transforming (power) is glorious. 
坤道其順乎，承天而時行。	Yes, what docility marks the way of Kun! It receives the influences of heaven, and acts at the proper time.
10 文言:	Kun:
積善之家，必有餘慶；積不善之家，必有餘殃。	The family that accumulates goodness is sure to have superabundant happiness, and the family that accumulates evil is sure to have superabundant misery. 
臣弒其君，子弒其父，非一朝一夕之故，	The murder of a ruler by his minister, or of his father by a son, is not the result of the events of one morning or one evening. 
其所由來者漸矣，由辯之不早辯也。	The causes of it have gradually accumulated,--through the absence of early discrimination. 
《易》曰「履霜、堅冰至」，蓋言順也。	The words of the Yi, 'He treads on the hoar-frost; the strong ice will come (by and by),' show the natural (issue and growth of things).
11 文言:	Kun:
「直」其正也，「方」其義也。	'Straight' indicates the correctness (of the internal principle), and 'square,' the righteousness (of the external act). 
君子敬以直內，義以方外，	The superior man, (thus represented), by his self-reverence maintains the inward (correctness), and in righteousness adjusts his external acts. 
敬義立而德不孤。	His reverence and righteousness being (thus) established, his virtues are not solitary instances or of a single class. 
「直、方、大、不習无不利」，則不疑其所行也。	'Straight, square, and great, working his operations, without repeated efforts, in every respect advantageous:'--this shows how (such a one) has no doubts as to what he does.
12 文言:	Kun:
陰雖有美「含」之以從王事，弗敢成也。	Although (the subject of) this divided line has excellent qualities, he (does not display them, but) keeps them under restraint. 
地道也，妻道也，臣道也。	'If he engage with them in the service of the king, and be successful, he will not claim that success for himself:'--this is the way of the earth, of a wife, of a minister. 
地道「无成」而代「有終」也。	The way of the earth is-'not to claim the merit of achievement,' but on behalf (of heaven) to bring things to their proper issue. 
天地變化，草木蕃。	Through the changes and transformations produced by heaven and earth, plants and trees grow luxuriantly. 
天地閉，賢人隱。	If (the reciprocal influence of) heaven and earth were shut up and restrained, we should have (a state that might suggest to us) the case of men of virtue and ability lying in obscurity. 
《易》曰「括囊、无咎无譽」，蓋言謹也。	The words of the Yi, 'A sack tied up:--there will be no ground for blame or for praise,' are in reality a lesson of caution.
13 文言:	Kun:
君子「黃」中通理，	The superior man (emblemed here) by the yellow and correct (colour), is possessed of comprehension and discrimination. 
正位居體，	He occupies the correct position (of supremacy), but (that emblem) is on (the lower part of) his person. 
美在其中而暢於四支，發於事業，美之至也。	His excellence is in the centre (of his being), but it diffuses a complacency over his four limbs, and is manifested in his (conduct of) affairs:--this is the perfection of excellence.
14 文言:	Kun:
陰疑於陽必「戰」，	(The subject of) the yin (or divided line) thinking himself equal to the (subject of the) yang, or undivided line, there is sure to be 'a contest.'
為其嫌於无陽也，故稱「龍」焉。	 As if indignant at there being no acknowledgment of the (superiority of the subject of the) yang line, (the text) uses the term 'dragons.'
猶未離其類也，故稱「血」焉。	 But still the (subject of neither line) can leave his class, and hence we have 'the blood' mentioned. 
夫「玄黃」者、天地之雜也。	The mention of that as being (both) 'azure and yellow' indicates the mixture of heaven and earth. 
天玄而地黃。	Heaven's (colour) is azure and earth's is yellow.
^yb3 ䷂屯:	Zhun:
屯：元亨，利貞，勿用有攸往，利建侯。	Zhun (indicates that in the case which it presupposes) there will be great progress and success, and the advantage will come from being correct and firm. (But) any movement in advance should not be (lightly) undertaken. There will be advantage in appointing feudal princes.
彖傳:	Tuan Zhuan:
屯，剛柔始交而難生，	In Zhun we have the strong (Qian) and the weak (Kun) commencing their intercourse, and difficulties arising. 
動乎險中，大亨貞。	Movement in the midst of peril gives rise to 'great progress and success, (through) firm correctness.' 
雷雨之動滿盈，天造草昧，	By the action of the thunder and rain, (which are symbols of Kan and Zhen), all (between heaven and earth) is filled up. But the condition of the time is full of irregularity and obscurity. 
宜建侯而不寧。	Feudal princes should be established, but the feeling that rest and peace have been secured should not be indulged (even then).
象傳:	Xiang Zhuan:
雲，雷，屯；君子以經綸。	(The trigram representing) clouds and (that representing) thunder form Zhun. The superior man, in accordance with this, (adjusts his measures of government) as in sorting the threads of the warp and woof.
2 ䷂屯:	Zhun:
初九：磐桓；	The first NINE, undivided, shows the difficulty (its subject has) in advancing. 
利居貞，利建侯。	It will be advantageous for him to abide correct and firm; advantageous (also) to be made a feudal ruler.
象傳:	Xiang Zhuan:
雖磐桓，志行正也。	Although 'there is a difficulty in advancing,' the mind (of the subject of the line) is set on doing what is correct. 
以貴下賤，大得民也。	While noble, he humbles himself to the mean, and grandly gains the people.
3 ䷂屯:	Zhun:
六二：屯如邅如，乘馬班如。	The second SIX, divided, shows (its subject) distressed and obliged to return; (even) the horses of her chariot (also) seem to be retreating. 
匪寇婚媾，	(But) not by a spoiler (is she assailed), but by one who seeks her to be his wife. 
女子貞不字，十年乃字。	The young lady maintains her firm correctness, and declines a union. After ten years she will be united, and have children.
象傳:	Xiang Zhuan:
六二之難，乘剛也。	The difficulty (to the subject of) the second six, (divided), arises from, its place over the undivided line below it. 
十年乃字，反常也。	'The union and children after ten years' shows things resuming their regular course.
4 ䷂屯:	Zhun:
六三：即鹿无虞，惟入于林中，	The third SIX, divided, shows one following the deer without (the guidance of) the forester, and only finding himself in the midst of the forest. 
君子幾不如舍，往吝。	The superior man, acquainted with the secret risks, thinks it better to give up the chase. If he went forward, he would regret it.
象傳:	Xiang Zhuan:
即鹿无虞，以縱禽也。	'One pursues the deer without the (guidance of the) forester:' - (he does so) in (his eagerness to) follow the game. 
君子舍之，往吝窮也。	'The superior man gives up the chase, (knowing that) if he go forward he will regret it:' - he would be reduced to extremity.
5 ䷂屯:	Zhun:
六四：乘馬班如，	The fourth SIX, divided, shows (its subject as a lady), the horses of whose chariot appear in retreat. 
求婚媾，往吉，无不利。	She seeks, however, (the help of) him who seeks her to be his wife. Advance will be fortunate; all will turn out advantageously.
象傳:	Xiang Zhuan:
求而往，明也。	'Going forward after such a search (for a helper)' shows intelligence.
6 ䷂屯:	Zhun:
九五：屯其膏，小貞吉，大貞凶。	The fifth NINE, undivided, shows the difficulties in the way of (its subject's) dispensing the rich favours that might be expected from him. With firmness and correctness there will be good fortune in small things; (even) with them in great things there will be evil.
象傳:	Xiang Zhuan:
屯其膏，施未光也。	'Difficulty is experienced (by the subject of the fifth line) in bestowing his rich favours:' - the extent to which they reach will not yet be conspicuous.
7 ䷂屯:	Zhun:
上六：乘馬班如，泣血漣如。	The topmost SIX, divided, shows (its subject) with the horses of his chariot obliged to retreat, and weeping tears of blood in streams.
象傳:	Xiang Zhuan:
泣血漣如，何可長也。	'He weeps tears of blood in streams:' - how can the state (thus emblemed) continue long?
^yb4 ䷃蒙:	Meng:
蒙：亨。	Meng (indicates that in the case which it presupposes) there will be progress and success. 
匪我求童蒙，童蒙求我。	I do not (go and) seek the youthful and inexperienced, but he comes and seeks me. 
初筮告，再三瀆，瀆則不告。	When he shows (the sincerity that marks) the first recourse to divination, I instruct him. If he apply a second and third time, that is troublesome; and I do not instruct the troublesome. 
利貞。	There will be advantage in being firm and correct.
彖傳:	Tuan Zhuan:
蒙，山下有險，險而止，蒙。	In Meng we have (the trigram for) a mountain, and below it that of a rugged defile with a stream in it. The conditions of peril and arrest of progress (suggested by these) give (the idea in) Meng. 
蒙亨，以亨行時中也。	'Meng indicates that there will be progress and success:' - for there is development at work in it, and its time of action is exactly what is right. 
匪我求童蒙，童蒙求我，志應也。	'I do not seek the youthful and inexperienced; he seeks me:' - so does will respond to will. 
初噬告，以剛中也。	'When he shows (the sincerity that marks) the first recourse to divination, I instruct him:' - for possessing the qualities of the undivided line and being in the central place, (the subject of the second line thus speaks). 
再三瀆，瀆則不告，瀆蒙也。	'A second and third application create annoyance, and I do not instruct so as to create annoyance:' - annoyance (he means) to the ignorant. 
蒙以養正，聖功也。	(The method of dealing with) the young and ignorant is to nourish the correct (nature belonging to them); - this accomplishes the service of the sage.
象傳:	Xiang Zhuan:
山下出泉，蒙；	(The trigram representing) a mountain, and beneath it that for a spring issuing forth form Meng. 
君子以果行育德。	The superior man, in accordance with this, strives to be resolute in his conduct and nourishes his virtue.
2 ䷃蒙:	Meng:
初六：發蒙，利用刑人，用說桎梏，	The first SIX, divided, (has respect to) the dispelling of ignorance. It will be advantageous to use punishment (for that purpose), and to remove the shackles (from the mind). 
以往吝。	But going on in that way (of punishment) will give occasion for regret.
象傳:	Xiang Zhuan:
利用刑人，以正法也。	'It will be advantageous to use punishment:' - the object being to bring under the influence of correcting law.
3 ䷃蒙:	Meng:
九二：包蒙吉；	The second NINE, undivided, (shows its subject) exercising forbearance with the ignorant, in which there will be good fortune; 
納婦吉；	and admitting (even the goodness of women, which will also be fortunate. 
子克家。	(He may be described also as) a son able to (sustain the burden of) his family.
象傳:	Xiang Zhuan:
子克家，剛柔接也。	'A son able to (sustain the burden of) his family:' - as appears from the reciprocation between this strong line and the weak (fifth line).
4 ䷃蒙:	Meng:
六三：勿用取女；	The third SIX, divided, (seems to say) that one should not marry a woman whose emblem it might be,
見金夫，不有躬，无攸利。	 for that, when she sees a man of wealth, she will not keep her person from him, and in no wise will advantage come from her.
象傳:	Xiang Zhuan:
勿用取女，行不順也。	'A woman (such as is here represented) should not be taken in marriage:' - her conduct is not agreeable to what is right.
5 ䷃蒙:	Meng:
六四：困蒙，吝。	The fourth SIX, divided, (shows its subject as if) bound in chains of ignorance. There will be occasion for regret.
象傳:	Xiang Zhuan:
困蒙之吝，獨遠實也。	'The regret arising from ignorance bound in chains' is due to the special distance of (the subject of this line) from the solidity (shown in lines 2 and 6).
6 ䷃蒙:	Meng:
六五：童蒙，吉。	The fifth SIX, divided, shows its subject as a simple lad without experience. There will be good fortune.
象傳:	Xiang Zhuan:
童蒙之吉，順以巽也。	'The good fortune belonging to the simple lad without experience' comes from his docility going on to humility.
7 ䷃蒙:	Meng:
上九：擊蒙；	In the topmost NINE, undivided, we see one smiting the ignorant (youth). 
不利為寇，利禦寇。	But no advantage will come from doing him an injury. Advantage would come from warding off injury from him.
象傳:	Xiang Zhuan:
利用禦寇，上下順也。	'Advantage will come from warding off injury:' - (the subject of this line) above and (the ignorant) below, all do and are done to in accordance with their nature.
^yb5 ䷄需:	Xu:
需：有孚，光亨，貞吉。	Xu intimates that, with the sincerity which is declared in it, there will be brilliant success. 
利涉大川。	With firmness there will be good fortune; and it will be advantageous to cross the great stream.
彖傳:	Tuan Zhuan:
需，須也；險在前也。	Xu denotes waiting. (The figure) shows peril in front; 
剛健而不陷，其義不困窮矣。	but notwithstanding the firmness and strength (indicated by the inner trigram), its subject does not allow himself to be involved (in the dangerous defile); - it is right he should not be straitened or reduced to extremity. 
需有孚，光亨，貞吉。	When it is said that, 'with the sincerity declared in Xu, there will be brilliant success, and with firmness there will be good fortune,'
位乎天位，以正中也。	 this is shown by the position (of the fifth line) in the place assigned by Heaven, and its being the correct position for it, and in the centre.
利涉大川，往有功也。	 'It will be advantageous to go through the great stream;' - that is, going forward will be followed by meritorious achievement.
象傳:	Xiang Zhuan:
