1 有天地，然後萬物生焉。	When there were heaven and earth, then afterwards all things were produced. 
物不可以終盡剝，窮上反下，故受之以《復》。	Things cannot be done away for ever. When decadence and overthrow have completed their work at one end, reintegration commences at the other; and hence Po is followed by Fu.
23 復則不妄矣，故受之以《无妄》。	When the return (thus indicated) has taken place, we have not any rash disorder, and Fu. is followed by Wu Wang.
24 有无妄，然後可畜，故受之以《大畜》。	Given the freedom from disorder and insincerity (which this name denotes), there may be the accumulation (of virtue), and Wu Wang is followed by Da Xu.
25 物畜然後可養，故受之以《頤》。	Such accumulation having taken place, there will follow the nourishment of it; and hence Da Xu is followed by Yi.
26 《頤》者，養也。	Yi denotes nourishing. 
不養則不可動，故受之以《大過》。	Without nourishment there could be no movement, and hence Yi is followed by Da Guo.
27 物不可以終過，故受之以《坎》。	Things cannot for ever be in a state of extraordinary (progress); and hence Da Guo is followed by Kan.
28 《坎》者，陷也。	Kan denotes falling into peril. 
陷必有所麗，故受之以《離》。	When one falls into peril, he is sure to attach himself to some person or thing; and hence Kan is followed by Li.
29 《離》者，麗也。	Li denotes being attached, or adhering, to.
30 有天地然後有萬物，	Heaven and earth existing, all (material) things then got their existence. 
有萬物然後有男女，	All (material) things having existence, afterwards there came male and female. 
有男女然後有夫婦，	From the existence of male and female there came afterwards husband and wife. 
有夫婦然後有父子，	From husband and wife there came father and son. 
有父子然後有君臣，	From father and son there came ruler and minister. 
有君臣然後有上下，	From ruler and minister there came high and low. 
有上下然後禮義有所錯。	When (the distinction of) high and low had existence, afterwards came the arrangements of propriety and righteousness.
31 夫婦之道不可以不久也，故受之以《恆》。	The rule for the relation of husband and wife is that it should be long-enduring. Hence Xian is followed by Heng.
32 《恆》者，久也。	Heng denotes long enduring. 
物不可以久居其所，故受之以《遯》。	Things cannot long abide in the same place; and hence Heng is followed by Dun.
33 《遯》者，退也。	Dun denotes withdrawing. 
物不可以終遯，故受之以《大壯》。	Things cannot be for ever withdrawn; and hence Dun is succeeded by Da Zhuang.
34 物不可以終壯，故受之以《晉》。	Things cannot remain forever (simply) in the state of vigour; and hence Da Zhuang is succeeded by Jin.
35 《晉》者，進也。	Jin denotes advancing. 
進必有所傷，故受之以《明夷》。	(But) advancing is sure to lead to being wounded; and hence Jin is succeeded by Ming Yi.
36 夷者，傷也。	Yi denotes being wounded. 
傷於外者必反於家，故受之以《家人》。	He who is wounded abroad will return to his home; and hence Ming Yi is followed by Jia Ren.
37 家道窮必乖，故受之以《睽》。	When the right administration of the family is at an end, misunderstanding and division will ensue; and hence Jia Ren is followed by Kui.
38 《睽》者，乖也。	Kui denotes misunderstanding and division; 
乖必有難，故受之以《蹇》。	and such a state is sure to give rise to difficulties and complications. Kui therefore is followed by Jian.
39 《蹇》者，難也。	Jian denotes difficulties; 
物不可以終難，故受之以《解》。	but things cannot remain for ever in such a state. Jian therefore is followed by Jie.
40 《解》者，緩也。	Jie denotes relaxation and ease. 
緩必有所失，故受之以《損》。	In a state of relaxation and ease there are sure to be losses; and hence Jie is followed by Sun.
41 損而不已必益，故受之以《益》。	But when Sun (or diminution) is going on without end, increase is sure to come. Sun therefore is followed by Yi.
42 益而不已必決，故受之以《夬》。	When increase goes on without end, there is sure to come a dispersing of it, and hence Yi is followed by Guai.
43 《夬》者，決也。	Guai denotes dispersion. 
決必有遇，故受之以《姤》。	But dispersion must be succeeded by a meeting (again). Hence Guai is followed by Gou.
44 《姤》者，遇也。	Gou denotes such meeting. 
物相遇而後聚，故受之以《萃》。	When things meet together, a collection is then formed. Hence Gou is followed by Cui.
45 《萃》者，聚也。	Cui denotes being collected. 
聚而上者謂之升，故受之以《升》。	When (good men) are collected and mount to the highest places, there results what we call an upward advance; and hence Cui is followed by Sheng.
46 升而不已必困，故受之以《困》。	When such advance continues without stopping, there is sure to come distress; and hence Sheng is followed by Kun.
47 困乎上者必反下，故受之以《井》。	When distress is felt in the height (that has been gained), there is sure to be a return to the ground beneath; and hence Kun is followed by Jing.
48 井道不可不革，故受之以《革》。	What happens under Jing requires to be changed, and hence it is followed by Ge (denoting change).
49 革物者莫若鼎，故受之以《鼎》。	For changing the substance of things there is nothing equal to the caldron; and hence Ge is followed by Ding.
50 主器者莫若長子，故受之以《震》。	For presiding over (that and all other) vessels, no one is equal to the eldest son, and hence Ding is followed by Zhen.
51 《震》者，動也。	Zhen conveys the idea of putting in motion. 
物不可以終動，止之，故受之以《艮》。	But things cannot be kept in motion forever. The motion is stopped; and hence Zhen is followed by Gen.
52 《艮》者，止也。	Gen gives the idea of arresting or stopping. 
物不可以終止，故受之以《漸》。	Things cannot be kept for ever in a state of repression, and hence Gen is followed by Jian.
53 漸者，進也。	Jian gives the idea of (gradually) advancing. 
進必有所歸，故受之以《歸妹》。	With advance there must be a certain point that is arrived at, and hence Jian is succeeded by Gui Mei.
54 得其所歸者必大，故受之以《豐》。	When things thus find the proper point to which to come, they are sure to become great. Hence Gui Mei is succeeded by Feng.
55 《豐》者，大也。	Feng conveys the idea of being great. 
窮大者必失其居，故受之以《旅》。	He whose greatness reaches the utmost possibility, is sure to lose his dwelling; and hence Feng is succeeded by Lu (denoting travellers or strangers).
56 旅而无所容，故受之以《巽》。	We have in it the idea of strangers who have no place to receive them, and hence Lu is followed by Xun.
57 《巽》者，入也。	Xun gives the idea of (penetrating and) entering. 
入而後說之，故受之以《兌》。	One enters (on the pursuit of his object), and afterwards has pleasure in it; hence Xun is followed by Dui.
58 《兌》者，說也。	Dui denotes pleasure and satisfaction. 
說而後散之，故受之以《渙》。	This pleasure and satisfaction (begins) afterwards to be dissipated, and hence Dui is followed by Huan.
59 《渙》者，離也。	Huan denotes separation and division. 
物不可以終離，故受之以《節》。	A state of division cannot continue for ever, and therefore Huan is followed by Jie.
60 節而信之，故受之以《中孚》。	Jie (or the system of regulations) having been established, men believe in it, and hence it is followed by Zhong Fu.
61 有其信者必行之，故受之以《小過》。	When men have the belief which Zhong Fu implies, they are sure to carry it into practice; and hence it is succeeded by Xiao Guo.
62 有過物者必濟，故受之以《既濟》。	He that surpasses others is sure to remedy (evils that exist), and therefore Xiao Guo is succeeded by Ji Ji.
63 物不可窮也，故受之以《未濟》，終焉。	But the succession of events cannot come to an end, and therefore Ji Ji is succeeded by Wei Ji, with which (the hexagrams) come to a close.
